Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode,Supplier type,Contract Number,Project code,Expenditure type,VAT Registration Number,Purchase Invoice Number
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Independent Sector,PRESCRIBING,PAUL HARTMANN LTD,33000012,38408.59,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/4526f809-5212-5687-a95a-40846188f147,OL10 2TT, , , , ,362341768,78000057
Department of Health,NHS Manchester CCG,31/07/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,33009068,-43280.5,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/7e125c38-ba9d-5e92-ae9a-1d3f208d8fd9,EC2V 7NG, , , , ,156725100,H291553
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Serv Recd-F Trsts,ACUTE ELDERLY SERVICES,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,33009075,-46966.44,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/7e40458f-8214-5505-b4df-598cbc5a6bc1,M41 5SL, , , , ,654415538,906126
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Independent Sector,PROGRAMME PROJECTS,GMCVO,33009076,68841,,M12 6FZ, , , , ,,4485
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,ALTERNATIVE FUTURES GROUP,33009090,96980.91,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/a37b5951-15e1-5a6d-ad19-bb45efac9d01,L34 1BN, , , , ,,AFSI063478
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,33018624,-56046.28,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/f906d84c-fb85-5232-a5e4-69b501db2488,M6 8AQ, , , , ,GB 426505170,M4450320REC
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,HEART NETWORKS UK LTD,33018630,51554.35,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/db8e910f-04cc-55bd-9af2-561499892237,WA13 0UJ, , , , ,,HN88
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,HEART NETWORKS UK LTD,33018641,51554.35,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/25bd3923-ac4a-5bd5-ae95-45112101f87d,WA13 0UJ, , , , ,,HN89
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Community Equp&Adaptations,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,78006,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Early Supp Hosp Dschg Schm,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,130010,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Employment Support,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,2267335.75,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Int Crisis&Rapid Resp Serv,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,208018,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Integrated Assessments,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,361950,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Other Soc Care,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,413458,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Re-ablement services,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,390033,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Soc Care-Telecare,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,26001,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Social Care-Domiciliary Care Exp,REABLEMENT,MANCHESTER CITY COUNCIL,33018644,175255,,M15 5NX, , , , ,GB149151958,8500613489
Department of Health,NHS Manchester CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Non Contract,PROGRAMME PROJECTS,SALFORD ROYAL NHS FOUNDATION TRUST,33027731,853000,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/720ecaab-bf37-5df3-9a85-a18901168f0f,BB3 0FG, , , , ,654939786,S0034869
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,STANDWALK,33027809,30267.78,,M14 7HR, , , , ,,SW3301
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Independent Sector,PROGRAMME PROJECTS,LGBT FOUNDATION LTD,33057897,45000,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/59c90928-7b10-502d-b73b-20558053d381,M1 3HF, , , , ,GB792663881,4854
Department of Health,NHS Manchester CCG,31/07/2020,Programme Support Costs,PRIMARY CARE INVESTMENTS,DAM HEAD MEDICAL CENTRE,33057906,31350,,M9 7HD, , , , ,,DHMC100220
Department of Health,NHS Manchester CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE ELDERLY SERVICES,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,33058014,-46666.66,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/e8cdfa37-19cd-50b3-9dfb-901cb640c419,M41 5SL, , , , ,654415538,906458
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CREATIVE SUPPORT LTD,33058021,34513.38,,SK1 3TS, , , , ,,451429
Department of Health,NHS Manchester CCG,31/07/2020,Services From Local Authorities,PROGRAMME PROJECTS,MANCHESTER CITY COUNCIL,33058114,4000000,,M15 5NX, , , , ,GB149151958,8500613812
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,49394.45,GSUMG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,964.77,PARTIG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,1000,PREMG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,3982.68,QUASPG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,4018.84,PENEEG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ALEXANDER GS,33071026,1765.3,PENERG,M19 1UG, , , , ,,MAN000028340
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,48571.33,GSUMG,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,950.76,PARTIG,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,3919,CQCRG,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,2620.83,NRENT,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,248.18,RAMW,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,6336.15,QUASPG,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,2831.46,SUPCEE,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA PRACTICE,33071028,1334.48,SUPCER,M16 8NG, , , , ,,MAN000028342
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA RANGE,33071030,33680.22,GSUMG,M16 7AP, , , , ,,MAN000028344
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA RANGE,33071030,662.09,PARTIG,M16 7AP, , , , ,,MAN000028344
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA RANGE,33071030,18216.66,HEALTH,M16 7AP, , , , ,,MAN000028344
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALEXANDRA RANGE,33071030,2441.1,QUASPG,M16 7AP, , , , ,,MAN000028344
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BA PATTOO,33071032,58015.31,GSUMG,M4 6HH, , , , ,,MAN000028346
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BA PATTOO,33071032,1152.7,PARTIG,M4 6HH, , , , ,,MAN000028346
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BA PATTOO,33071032,3846.47,QUASPG,M4 6HH, , , , ,,MAN000028346
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BAKHAT A,33071034,79041.82,GSUMG,M22 5RX, , , , ,,MAN000028348
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BAKHAT A,33071034,1570.72,PARTIG,M22 5RX, , , , ,,MAN000028348
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BAKHAT A,33071034,6314.19,QUASPG,M22 5RX, , , , ,,MAN000028348
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BAKHAT A,33071034,656.25,PENEEG,M22 5RX, , , , ,,MAN000028348
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,6847.75,EXTHDG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,67098.06,GSUMG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,3409.71,CLINDG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BOWLAND MEDICAL PRACTICE,33071039,7083.88,PCNSUG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,1315.27,PARTIG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,5082,NRENT,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BOWLAND MEDICAL PRACTICE,33071039,8284.42,QUASPG,M23 1JX, , , , ,,MAN000028356
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071040,-521.2,STATL,M20 4SS, , , , ,,MAN000028359
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071040,-43,VOLL,M20 4SS, , , , ,,MAN000028359
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071040,-12483.83,SUPCEE,M20 4SS, , , , ,,MAN000028359
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071040,-13110.27,SUPCER,M20 4SS, , , , ,,MAN000028359
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,95030.83,GSUMG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,1899.8,PARTIG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,4821.18,LOCSIG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,14390,RENT,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,2990.75,PREMG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,221.91,RAMW,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,7954.47,QUASPG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BURGESS H,33071041,539.25,PENERG,M20 4SS, , , , ,,MAN000028360
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CAPEK MEY,33071043,32884.94,GSUMG,M23 0PH, , , , ,,MAN000028362
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAPEK MEY,33071043,636.6,PARTIG,M23 0PH, , , , ,,MAN000028362
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,CAPEK MEY,33071043,14660.64,LOCSIG,M23 0PH, , , , ,,MAN000028362
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CAPEK MEY,33071043,1832.58,NRENT,M23 0PH, , , , ,,MAN000028362
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CAPEK MEY,33071043,3181.16,QUASPG,M23 0PH, , , , ,,MAN000028362
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,51693.58,GSUMG,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,1038.59,PARTIG,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,2709.67,NRENT,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,7169.09,RANDR,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,620.37,RAMW,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CAPLAN M,33071045,6132.52,QUASPG,M8 4RF, , , , ,,MAN000028364
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,1960,LEARNG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,70652.87,GSUMG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,1399.44,PARTIG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,5564,CQCRG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,4415,RENT,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,4483.66,NRENT,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,15186.3,RANDR,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,753.27,RAMW,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,6931.18,QUASPG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHATTERJEE PC,33071047,539.25,PENERG,M23 2SY, , , , ,,MAN000028366
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071048,-270.08,STATL,M13 9UJ, , , , ,,MAN000028367
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071048,-16915.98,SUPCEE,M13 9UJ, , , , ,,MAN000028367
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071048,-16147.84,SUPCER,M13 9UJ, , , , ,,MAN000028367
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071049,61904.73,GSUMG,M13 9UJ, , , , ,,MAN000028368
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071049,1201.92,PARTIG,M13 9UJ, , , , ,,MAN000028368
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHIU C,33071049,4146.19,QUASPG,M13 9UJ, , , , ,,MAN000028368
Department of Health,NHS Manchester CCG,31/07/2020,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-59422.25,ACHIEA,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-43784.2,ASPIRA,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-313.87,PRYERP,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-3620.48,SUPCEE,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-4122.28,SUPCER,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071050,-188.82,PRYEEP,M1 1PL, , , , ,,MAN000028369
Department of Health,NHS Manchester CCG,31/07/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,206416.54,APMESS,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,3748.01,EXTHDP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,1866.25,CLINDP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CITY CENTRE HEALTH CENTRE,33071051,3877.25,PCNSUP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,1988.86,PARTIP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,3648.68,QUASPP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,86.13,PRYERP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CITY CENTRE HEALTH CENTRE,33071051,1490.74,PRYEEP,M1 1PL, , , , ,,MAN000028370
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,35261.96,GSUMG,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,679.94,PARTIG,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,3092,CQCRG,M21 0UF, , , , ,,MAN000028372
